ISIN,Data,Prezzo
GB00BJYDH287,2020-03-04,98.69
GB00BJYDH287,2020-03-05,100.76
GB00BJYDH287,2020-03-06,95.0
GB00BJYDH287,2020-03-09,97.56
GB00BJYDH287,2020-03-10,94.67
GB00BJYDH287,2020-03-11,92.82
GB00BJYDH287,2020-03-12,93.62
GB00BJYDH287,2020-03-13,92.44
GB00BJYDH287,2020-03-16,94.7
GB00BJYDH287,2020-03-17,93.86
GB00BJYDH287,2020-03-18,98.83
GB00BJYDH287,2020-03-19,106.44
GB00BJYDH287,2020-03-20,104.52
GB00BJYDH287,2020-03-23,109.91
GB00BJYDH287,2020-03-24,107.41
GB00BJYDH287,2020-03-25,105.74
GB00BJYDH287,2020-03-26,111.22
GB00BJYDH287,2020-03-27,115.01
GB00BJYDH287,2020-03-30,110.87
GB00BJYDH287,2020-03-31,113.27
GB00BJYDH287,2020-04-01,113.0
GB00BJYDH287,2020-04-02,111.72
GB00BJYDH287,2020-04-03,102.02
GB00BJYDH287,2020-04-06,105.13
GB00BJYDH287,2020-04-07,108.99
GB00BJYDH287,2020-04-08,116.9
GB00BJYDH287,2020-04-09,117.55
GB00BJYDH287,2020-04-10,112.01
GB00BJYDH287,2020-04-13,113.47
GB00BJYDH287,2020-04-14,113.74
GB00BJYDH287,2020-04-15,118.3
GB00BJYDH287,2020-04-16,120.52
GB00BJYDH287,2020-04-17,119.22
GB00BJYDH287,2020-04-20,119.32
GB00BJYDH287,2020-04-21,123.61
GB00BJYDH287,2020-04-22,123.45
GB00BJYDH287,2020-04-23,121.08
GB00BJYDH287,2020-04-24,122.86
GB00BJYDH287,2020-04-27,124.36
GB00BJYDH287,2020-04-28,127.32
GB00BJYDH287,2020-04-29,135.36
GB00BJYDH287,2020-04-30,129.36
GB00BJYDH287,2020-05-01,118.8
GB00BJYDH287,2020-05-04,123.83
GB00BJYDH287,2020-05-05,119.47
GB00BJYDH287,2020-05-06,118.81
GB00BJYDH287,2020-05-07,108.79
GB00BJYDH287,2020-05-08,108.1
GB00BJYDH287,2020-05-11,106.86
GB00BJYDH287,2020-05-12,107.26
GB00BJYDH287,2020-05-13,102.15
GB00BJYDH287,2020-05-14,100.86
GB00BJYDH287,2020-05-15,107.02
GB00BJYDH287,2020-05-18,104.08
GB00BJYDH287,2020-05-19,101.06
GB00BJYDH287,2020-05-20,101.92
GB00BJYDH287,2020-05-21,101.96
GB00BJYDH287,2020-05-22,102.51
GB00BJYDH287,2020-05-25,101.76
GB00BJYDH287,2020-05-26,101.95
GB00BJYDH287,2020-05-27,99.68
GB00BJYDH287,2020-05-28,97.45
GB00BJYDH287,2020-05-29,102.43
GB00BJYDH287,2020-06-01,109.42
GB00BJYDH287,2020-06-02,110.92
GB00BJYDH287,2020-06-03,102.74
GB00BJYDH287,2020-06-04,105.04
